,Singapore
8/18/21,53.0
8/19/21,32.0
8/20/21,40.0
8/21/21,37.0
8/22/21,35.0
8/23/21,98.0
8/24/21,116.0
8/25/21,120.0
8/26/21,116.0
8/27/21,0.0
8/28/21,243.0
8/29/21,0.0
8/30/21,288.0
8/31/21,161.0
9/1/21,180.0
9/2/21,191.0
9/3/21,219.0
9/4/21,259.0
9/5/21,191.0
9/6/21,241.0
9/7/21,332.0
9/8/21,349.0
9/9/21,457.0
9/10/21,573.0
9/11/21,555.0
9/12/21,520.0
9/13/21,607.0
9/14/21,837.0
9/15/21,807.0
9/16/21,910.0
9/17/21,935.0
9/18/21,1009.0
9/19/21,1012.0
9/20/21,917.0
9/21/21,1178.0
9/22/21,1457.0
9/23/21,1504.0
9/24/21,1650.0
9/25/21,1443.0
9/26/21,1939.0
9/27/21,1647.0
9/28/21,2236.0
9/29/21,2268.0
9/30/21,2478.0
10/1/21,2909.0
10/2/21,2356.0
10/3/21,2057.0
10/4/21,2475.0
10/5/21,3486.0
10/6/21,3577.0
10/7/21,3483.0
10/8/21,3590.0
10/9/21,3703.0
10/10/21,2809.0
10/11/21,2263.0
10/12/21,2976.0
10/13/21,3190.0
10/14/21,2932.0
10/15/21,3445.0
10/16/21,3348.0
10/17/21,3058.0
10/18/21,2553.0
10/19/21,3994.0
10/20/21,3862.0
10/21/21,3439.0
10/22/21,3637.0
10/23/21,3598.0
10/24/21,3383.0
10/25/21,3174.0
10/26/21,3277.0
10/27/21,5324.0
10/28/21,3432.0
10/29/21,4248.0
10/30/21,3112.0
10/31/21,3163.0
11/1/21,2470.0
11/2/21,3496.0
11/3/21,3635.0
11/4/21,3003.0
11/5/21,1767.0
11/6/21,3035.0
11/7/21,2553.0
11/8/21,2470.0
11/9/21,3397.0
11/10/21,3481.0
11/11/21,2396.0
11/12/21,3099.0
11/13/21,2304.0
11/14/21,1723.0
11/15/21,2069.0
11/16/21,2069.0
11/17/21,3474.0
11/18/21,0.0
11/19/21,3772.0
11/20/21,1931.0
11/21/21,1670.0
11/22/21,1461.0
11/23/21,1782.0
11/24/21,2079.0
11/25/21,1275.0
11/26/21,1090.0
11/27/21,1761.0
11/28/21,747.0
11/29/21,1103.0
11/30/21,1239.0
12/1/21,1324.0
12/2/21,1101.0
12/3/21,766.0
12/4/21,743.0
12/5/21,552.0
12/6/21,662.0
12/7/21,715.0
12/8/21,709.0
12/9/21,682.0
12/10/21,454.0
12/11/21,559.0
12/12/21,370.0
12/13/21,339.0
12/14/21,442.0
12/15/21,474.0
12/16/21,355.0
12/17/21,412.0
12/18/21,271.0
12/19/21,255.0
12/20/21,195.0
12/21/21,280.0
12/22/21,335.0
12/23/21,322.0
12/24/21,265.0
12/25/21,248.0
12/26/21,209.0
12/27/21,280.0
12/28/21,365.0
12/29/21,341.0
12/30/21,311.0
12/31/21,344.0
1/1/22,456.0
1/2/22,429.0
1/3/22,464.0
1/4/22,842.0
1/5/22,805.0
1/6/22,813.0
1/7/22,0.0
1/8/22,1588.0
1/9/22,845.0
1/10/22,750.0
1/11/22,846.0
1/12/22,882.0
1/13/22,960.0
1/14/22,945.0
1/15/22,956.0
1/16/22,863.0
1/17/22,1165.0
1/18/22,1448.0
1/19/22,1615.0
1/20/22,1472.0
1/21/22,10264.0
1/22/22,2463.0
1/23/22,3496.0
1/24/22,3002.0
1/25/22,5996.0
1/26/22,4832.0
1/27/22,5469.0
1/28/22,5554.0
