,Serbia
1/16/22,11248.0
1/17/22,12797.0
1/18/22,18006.0
1/19/22,17318.0
1/20/22,17105.0
1/21/22,16403.0
1/22/22,14717.0
1/23/22,12159.0
1/24/22,15046.0
1/25/22,19901.0
1/26/22,0.0
1/27/22,36737.0
1/28/22,17284.0
1/29/22,15425.0
1/30/22,13153.0
1/31/22,15352.0
2/1/22,19214.0
2/2/22,17851.0
2/3/22,15623.0
2/4/22,14519.0
2/5/22,12736.0
2/6/22,10602.0
2/7/22,11439.0
2/8/22,13772.0
2/9/22,12532.0
2/10/22,11121.0
2/11/22,9580.0
2/12/22,8187.0
2/13/22,6036.0
2/14/22,7030.0
2/15/22,7134.0
2/16/22,6239.0
2/17/22,6423.0
2/18/22,6298.0
2/19/22,0.0
2/20/22,8979.0
2/21/22,4483.0
2/22/22,4591.0
2/23/22,4388.0
2/24/22,3718.0
2/25/22,3201.0
2/26/22,2648.0
2/27/22,2130.0
2/28/22,2703.0
