,Guatemala
8/5/21,4068.0
8/6/21,3998.0
8/7/21,3998.0
8/8/21,1004.0
8/9/21,604.0
8/10/21,3254.0
8/11/21,4618.0
8/12/21,4358.0
8/13/21,4216.0
8/14/21,4167.0
8/15/21,1309.0
8/16/21,757.0
8/17/21,3823.0
8/18/21,4650.0
8/19/21,5826.0
8/20/21,5243.0
8/21/21,4580.0
8/22/21,1334.0
8/23/21,754.0
8/24/21,4917.0
8/25/21,5226.0
8/26/21,5113.0
8/27/21,4754.0
8/28/21,3736.0
8/29/21,1306.0
8/30/21,740.0
8/31/21,4478.0
9/1/21,5271.0
9/2/21,3828.0
9/3/21,4887.0
9/4/21,2556.0
9/5/21,1079.0
9/6/21,640.0
9/7/21,4032.0
9/8/21,5120.0
9/9/21,3150.0
9/10/21,4800.0
9/11/21,4014.0
9/12/21,1070.0
9/13/21,733.0
9/14/21,4299.0
9/15/21,4230.0
9/16/21,1107.0
9/17/21,4068.0
9/18/21,3427.0
9/19/21,834.0
9/20/21,604.0
9/21/21,3718.0
9/22/21,4243.0
9/23/21,4037.0
9/24/21,3772.0
9/25/21,2808.0
9/26/21,956.0
9/27/21,773.0
9/28/21,2956.0
9/29/21,3955.0
9/30/21,3071.0
10/1/21,2942.0
10/2/21,2309.0
10/3/21,684.0
10/4/21,386.0
10/5/21,2804.0
10/6/21,2663.0
10/7/21,2610.0
10/8/21,2105.0
10/9/21,1991.0
10/10/21,680.0
10/11/21,285.0
10/12/21,1724.0
10/13/21,1703.0
10/14/21,1412.0
10/15/21,1705.0
10/16/21,1369.0
10/17/21,382.0
10/18/21,193.0
10/19/21,1724.0
10/20/21,1474.0
10/21/21,307.0
10/22/21,1692.0
10/23/21,1206.0
10/24/21,343.0
10/25/21,59.0
10/26/21,1350.0
10/27/21,1351.0
10/28/21,1274.0
10/29/21,1377.0
10/30/21,983.0
10/31/21,170.0
11/1/21,85.0
11/2/21,136.0
11/3/21,782.0
11/4/21,1066.0
11/5/21,945.0
11/6/21,829.0
11/7/21,249.0
11/8/21,85.0
11/9/21,994.0
11/10/21,754.0
11/11/21,810.0
11/12/21,829.0
11/13/21,593.0
11/14/21,275.0
11/15/21,30.0
11/16/21,557.0
11/17/21,783.0
11/18/21,0.0
11/19/21,1640.0
11/20/21,699.0
11/21/21,179.0
11/22/21,58.0
11/23/21,960.0
11/24/21,815.0
11/25/21,829.0
11/26/21,483.0
11/27/21,458.0
11/28/21,115.0
11/29/21,11.0
11/30/21,363.0
12/1/21,452.0
12/2/21,291.0
12/3/21,313.0
12/4/21,502.0
12/5/21,310.0
12/6/21,39.0
12/7/21,544.0
12/8/21,418.0
12/9/21,475.0
12/10/21,516.0
12/11/21,324.0
12/12/21,61.0
12/13/21,8.0
12/14/21,288.0
12/15/21,341.0
12/16/21,329.0
12/17/21,254.0
12/18/21,213.0
12/19/21,69.0
12/20/21,64.0
12/21/21,376.0
12/22/21,373.0
12/23/21,322.0
12/24/21,163.0
12/25/21,98.0
12/26/21,39.0
12/27/21,91.0
12/28/21,597.0
12/29/21,821.0
12/30/21,887.0
12/31/21,797.0
1/1/22,230.0
1/2/22,106.0
1/3/22,109.0
1/4/22,1007.0
1/5/22,1919.0
1/6/22,0.0
1/7/22,3883.0
1/8/22,2050.0
1/9/22,1042.0
1/10/22,343.0
1/11/22,2116.0
1/12/22,2283.0
1/13/22,2872.0
1/14/22,2628.0
1/15/22,2827.0
1/16/22,1397.0
1/17/22,384.0
1/18/22,2901.0
1/19/22,3199.0
1/20/22,3173.0
1/21/22,3189.0
1/22/22,2995.0
1/23/22,818.0
1/24/22,659.0
1/25/22,3070.0
1/26/22,3655.0
1/27/22,4094.0
1/28/22,4234.0
1/29/22,2784.0
1/30/22,1283.0
1/31/22,681.0
2/1/22,4223.0
2/2/22,3872.0
2/3/22,3925.0
2/4/22,3304.0
2/5/22,4296.0
2/6/22,1166.0
2/7/22,981.0
2/8/22,4025.0
2/9/22,4720.0
2/10/22,4899.0
2/11/22,4276.0
2/12/22,3983.0
2/13/22,1139.0
2/14/22,858.0
2/15/22,4054.0
2/16/22,4743.0
2/17/22,4503.0
2/18/22,4024.0
2/19/22,3319.0
2/20/22,988.0
2/21/22,715.0
2/22/22,3793.0
2/23/22,4379.0
2/24/22,3660.0
2/25/22,3440.0
2/26/22,2687.0
2/27/22,729.0
2/28/22,0.0
