,Kazakhstan
11/13/21,1265.0
11/14/21,1081.0
11/15/21,952.0
11/16/21,1253.0
11/17/21,1260.0
11/18/21,1272.0
11/19/21,1179.0
11/20/21,1148.0
11/21/21,939.0
11/22/21,773.0
11/23/21,1055.0
11/24/21,1087.0
11/25/21,1063.0
11/26/21,996.0
11/27/21,926.0
11/28/21,805.0
11/29/21,664.0
11/30/21,881.0
12/1/21,807.0
12/2/21,738.0
12/3/21,798.0
12/4/21,790.0
12/5/21,653.0
12/6/21,551.0
12/7/21,816.0
12/8/21,798.0
12/9/21,722.0
12/10/21,634.0
12/11/21,554.0
12/12/21,577.0
12/13/21,399.0
12/14/21,556.0
12/15/21,627.0
12/16/21,546.0
12/17/21,59.0
12/18/21,937.0
12/19/21,400.0
12/20/21,375.0
12/21/21,502.0
12/22/21,552.0
12/23/21,536.0
12/24/21,510.0
12/25/21,455.0
12/26/21,351.0
12/27/21,354.0
12/28/21,466.0
12/29/21,480.0
12/30/21,522.0
12/31/21,481.0
1/1/22,481.0
1/2/22,0.0
1/3/22,787.0
1/4/22,3.0
1/5/22,494.0
1/6/22,0.0
1/7/22,0.0
1/8/22,5388.0
1/9/22,2087.0
1/10/22,2230.0
1/11/22,4889.0
1/12/22,9183.0
1/13/22,10507.0
1/14/22,12381.0
1/15/22,13650.0
1/16/22,11567.0
1/17/22,9706.0
1/18/22,14061.0
1/19/22,15996.0
1/20/22,16441.0
1/21/22,15169.0
1/22/22,14318.0
1/23/22,11364.0
1/24/22,9045.0
1/25/22,12034.0
1/26/22,13758.0
1/27/22,12706.0
1/28/22,11753.0
1/29/22,9792.0
1/30/22,7506.0
1/31/22,5479.0
2/1/22,7350.0
2/2/22,7767.0
2/3/22,6773.0
2/4/22,5865.0
2/5/22,0.0
2/6/22,8615.0
2/7/22,2019.0
2/8/22,3372.0
2/9/22,3412.0
2/10/22,2581.0
2/11/22,2283.0
2/12/22,2060.0
2/13/22,1381.0
2/14/22,1201.0
2/15/22,1586.0
2/16/22,1408.0
2/17/22,1351.0
2/18/22,0.0
2/19/22,1974.0
2/20/22,672.0
2/21/22,483.0
2/22/22,655.0
2/23/22,612.0
2/24/22,575.0
2/25/22,0.0
2/26/22,496.0
2/27/22,657.0
2/28/22,229.0
