,Colombia
12/6/21,1698.0
12/7/21,1704.0
12/8/21,1915.0
12/9/21,1627.0
12/10/21,1687.0
12/11/21,1813.0
12/12/21,2026.0
12/13/21,2287.0
12/14/21,1859.0
12/15/21,2066.0
12/16/21,1720.0
12/17/21,1803.0
12/18/21,2016.0
12/19/21,2038.0
12/20/21,1699.0
12/21/21,1766.0
12/22/21,1931.0
12/23/21,2475.0
12/24/21,3060.0
12/25/21,3414.0
12/26/21,3022.0
12/27/21,3281.0
12/28/21,4306.0
12/29/21,6326.0
12/30/21,8436.0
12/31/21,10401.0
1/1/22,12415.0
1/2/22,11318.0
1/3/22,9848.0
1/4/22,12353.0
1/5/22,16259.0
1/6/22,23039.0
1/7/22,26190.0
1/8/22,31170.0
1/9/22,30630.0
1/10/22,27105.0
1/11/22,23074.0
1/12/22,29857.0
1/13/22,30283.0
1/14/22,34923.0
1/15/22,35575.0
1/16/22,32317.0
1/17/22,24272.0
1/18/22,28849.0
1/19/22,27603.0
1/20/22,30506.0
1/21/22,31039.0
1/22/22,28027.0
1/23/22,26087.0
1/24/22,21219.0
1/25/22,19512.0
1/26/22,17889.0
1/27/22,17663.0
1/28/22,20946.0
1/29/22,18450.0
1/30/22,16119.0
1/31/22,15284.0
2/1/22,14454.0
2/2/22,15110.0
2/3/22,13568.0
2/4/22,13390.0
2/5/22,12567.0
2/6/22,10356.0
2/7/22,9080.0
2/8/22,9730.0
2/9/22,8785.0
2/10/22,8269.0
2/11/22,5421.0
2/12/22,6572.0
2/13/22,5532.0
2/14/22,3162.0
2/15/22,3731.0
2/16/22,4142.0
2/17/22,4013.0
2/18/22,4020.0
2/19/22,4498.0
2/20/22,3381.0
2/21/22,2910.0
2/22/22,2174.0
2/23/22,2181.0
2/24/22,2249.0
2/25/22,2159.0
2/26/22,2078.0
2/27/22,1908.0
2/28/22,1882.0
