,US
10/13/21,108839.0
10/14/21,86975.0
10/15/21,109835.0
10/16/21,39229.0
10/17/21,31071.0
10/18/21,100014.0
10/19/21,81273.0
10/20/21,91934.0
10/21/21,77906.0
10/22/21,96372.0
10/23/21,31825.0
10/24/21,18560.0
10/25/21,111113.0
10/26/21,69209.0
10/27/21,102365.0
10/28/21,75742.0
10/29/21,95118.0
10/30/21,33855.0
10/31/21,32018.0
11/1/21,111463.0
11/2/21,70948.0
11/3/21,85343.0
11/4/21,81723.0
11/5/21,96679.0
11/6/21,34603.0
11/7/21,36302.0
11/8/21,109027.0
11/9/21,79958.0
11/10/21,95704.0
11/11/21,56662.0
11/12/21,144814.0
11/13/21,43498.0
11/14/21,31210.0
11/15/21,134811.0
11/16/21,87057.0
11/17/21,112683.0
11/18/21,110176.0
11/19/21,126909.0
11/20/21,44792.0
11/21/21,39230.0
11/22/21,145648.0
11/23/21,91279.0
11/24/21,111528.0
11/25/21,39053.0
11/26/21,52694.0
11/27/21,25993.0
11/28/21,42494.0
11/29/21,187710.0
11/30/21,117322.0
12/1/21,136956.0
12/2/21,139207.0
12/3/21,158617.0
12/4/21,65579.0
12/5/21,54284.0
12/6/21,179491.0
12/7/21,113238.0
12/8/21,149672.0
12/9/21,122458.0
12/10/21,160701.0
12/11/21,55856.0
12/12/21,51326.0
12/13/21,187081.0
12/14/21,114824.0
12/15/21,143585.0
12/16/21,141644.0
12/17/21,192840.0
12/18/21,77843.0
12/19/21,87926.0
12/20/21,242564.0
12/21/21,178754.0
12/22/21,241511.0
12/23/21,270508.0
12/24/21,244067.0
12/25/21,82847.0
12/26/21,176889.0
12/27/21,509081.0
12/28/21,356797.0
12/29/21,499452.0
12/30/21,589431.0
12/31/21,502588.0
1/1/22,181222.0
1/2/22,278055.0
1/3/22,1076185.0
1/4/22,805837.0
1/5/22,644999.0
1/6/22,815087.0
1/7/22,856368.0
1/8/22,386226.0
1/9/22,475999.0
1/10/22,1368167.0
1/11/22,769464.0
1/12/22,909481.0
1/13/22,840605.0
1/14/22,859527.0
1/15/22,394386.0
1/16/22,468334.0
1/17/22,661635.0
1/18/22,1113192.0
1/19/22,998645.0
1/20/22,711021.0
1/21/22,822990.0
1/22/22,286718.0
1/23/22,356231.0
1/24/22,903218.0
1/25/22,478121.0
1/26/22,728876.0
1/27/22,488419.0
1/28/22,601509.0
1/29/22,169539.0
1/30/22,192866.0
1/31/22,531224.0
2/1/22,414531.0
2/2/22,327138.0
2/3/22,253326.0
2/4/22,371158.0
2/5/22,104606.0
2/6/22,80599.0
2/7/22,339248.0
2/8/22,222971.0
2/9/22,188840.0
2/10/22,172110.0
2/11/22,210519.0
2/12/22,55431.0
2/13/22,57010.0
2/14/22,164693.0
2/15/22,116035.0
2/16/22,116111.0
2/17/22,102061.0
2/18/22,146320.0
2/19/22,33684.0
2/20/22,22132.0
2/21/22,81155.0
2/22/22,91197.0
2/23/22,83901.0
2/24/22,67349.0
2/25/22,74868.0
2/26/22,48638.0
2/27/22,18069.0
2/28/22,96464.0
