,Philippines
11/25/21,958.0
11/26/21,769.0
11/27/21,790.0
11/28/21,630.0
11/29/21,568.0
11/30/21,359.0
12/1/21,304.0
12/2/21,435.0
12/3/21,405.0
12/4/21,416.0
12/5/21,481.0
12/6/21,379.0
12/7/21,191.0
12/8/21,248.0
12/9/21,403.0
12/10/21,204.0
12/11/21,160.0
12/12/21,232.0
12/13/21,211.0
12/14/21,65.0
12/15/21,47.0
12/16/21,101.0
12/17/21,448.0
12/18/21,91.0
12/19/21,22.0
12/20/21,153.0
12/21/21,-11.0
12/22/21,65.0
12/23/21,119.0
12/24/21,129.0
12/25/21,349.0
12/26/21,259.0
12/27/21,152.0
12/28/21,319.0
12/29/21,679.0
12/30/21,1470.0
12/31/21,2719.0
1/1/22,3507.0
1/2/22,4445.0
1/3/22,3888.0
1/4/22,5300.0
1/5/22,10626.0
1/6/22,17172.0
1/7/22,21747.0
1/8/22,26211.0
1/9/22,28572.0
1/10/22,33083.0
1/11/22,27943.0
1/12/22,32161.0
1/13/22,33775.0
1/14/22,37103.0
1/15/22,38867.0
1/16/22,37017.0
1/17/22,36978.0
1/18/22,28384.0
1/19/22,22867.0
1/20/22,30853.0
1/21/22,32605.0
1/22/22,30441.0
1/23/22,29692.0
1/24/22,24840.0
1/25/22,17590.0
1/26/22,15647.0
1/27/22,18154.0
1/28/22,18044.0
1/29/22,17305.0
1/30/22,16884.0
1/31/22,14522.0
2/1/22,9463.0
2/2/22,7633.0
2/3/22,8163.0
2/4/22,8541.0
2/5/22,7469.0
2/6/22,8097.0
2/7/22,6819.0
2/8/22,3246.0
2/9/22,3543.0
2/10/22,4399.0
2/11/22,3062.0
2/12/22,3731.0
2/13/22,2912.0
2/14/22,2662.0
2/15/22,1998.0
2/16/22,2657.0
2/17/22,2196.0
2/18/22,2132.0
2/19/22,1823.0
2/20/22,1455.0
2/21/22,1323.0
2/22/22,758.0
2/23/22,1425.0
2/24/22,1633.0
2/25/22,1550.0
2/26/22,1128.0
2/27/22,1029.0
2/28/22,948.0
