,Bosnia and Herzegovina
1/8/22,0.0
1/9/22,0.0
1/10/22,5254.0
1/11/22,2269.0
1/12/22,2577.0
1/13/22,2590.0
1/14/22,3162.0
1/15/22,0.0
1/16/22,0.0
1/17/22,4507.0
1/18/22,3342.0
1/19/22,2992.0
1/20/22,2969.0
1/21/22,2574.0
1/22/22,0.0
1/23/22,0.0
1/24/22,4572.0
1/25/22,2539.0
1/26/22,2601.0
1/27/22,2632.0
1/28/22,2073.0
1/29/22,0.0
1/30/22,0.0
1/31/22,3481.0
2/1/22,1628.0
2/2/22,2124.0
2/3/22,1918.0
2/4/22,1188.0
2/5/22,0.0
2/6/22,0.0
2/7/22,2605.0
2/8/22,1468.0
2/9/22,1478.0
2/10/22,1313.0
2/11/22,1338.0
2/12/22,0.0
2/13/22,0.0
2/14/22,2083.0
2/15/22,979.0
2/16/22,861.0
2/17/22,575.0
2/18/22,616.0
2/19/22,0.0
2/20/22,0.0
2/21/22,1094.0
2/22/22,495.0
2/23/22,640.0
2/24/22,425.0
2/25/22,357.0
2/26/22,0.0
2/27/22,0.0
2/28/22,550.0
