,Germany
2/3/22,248652.0
2/4/22,214386.0
2/5/22,127116.0
2/6/22,82363.0
2/7/22,51377.0
2/8/22,380632.0
2/9/22,252813.0
2/10/22,236080.0
2/11/22,206242.0
2/12/22,116810.0
2/13/22,62841.0
2/14/22,174539.0
2/15/22,63210.0
2/16/22,401828.0
2/17/22,215159.0
2/18/22,182762.0
2/19/22,113643.0
2/20/22,61908.0
2/21/22,137844.0
2/22/22,221478.0
2/23/22,225525.0
2/24/22,206627.0
2/25/22,167488.0
2/26/22,106407.0
2/27/22,47103.0
2/28/22,132801.0
