,Saudi Arabia
2/1/22,3861.0
2/2/22,4092.0
2/3/22,3852.0
2/4/22,3555.0
2/5/22,3013.0
2/6/22,3260.0
2/7/22,3747.0
2/8/22,3330.0
2/9/22,3162.0
2/10/22,2866.0
2/11/22,2523.0
2/12/22,1726.0
2/13/22,2136.0
2/14/22,2227.0
2/15/22,1982.0
2/16/22,1793.0
2/17/22,1569.0
2/18/22,1376.0
2/19/22,997.0
2/20/22,1013.0
2/21/22,1052.0
2/22/22,841.0
2/23/22,627.0
2/24/22,677.0
2/25/22,664.0
2/26/22,537.0
2/27/22,632.0
2/28/22,653.0
