,Romania
8/6/21,230.0
8/7/21,255.0
8/8/21,208.0
8/9/21,181.0
8/10/21,312.0
8/11/21,326.0
8/12/21,371.0
8/13/21,383.0
8/14/21,408.0
8/15/21,323.0
8/16/21,286.0
8/17/21,544.0
8/18/21,541.0
8/19/21,595.0
8/20/21,628.0
8/21/21,591.0
8/22/21,517.0
8/23/21,415.0
8/24/21,782.0
8/25/21,849.0
8/26/21,953.0
8/27/21,946.0
8/28/21,1015.0
8/29/21,868.0
8/30/21,699.0
8/31/21,1313.0
9/1/21,1443.0
9/2/21,1470.0
9/3/21,1520.0
9/4/21,1568.0
9/5/21,1242.0
9/6/21,1035.0
9/7/21,2033.0
9/8/21,2079.0
9/9/21,2226.0
9/10/21,2520.0
9/11/21,2648.0
9/12/21,2255.0
9/13/21,1849.0
9/14/21,3929.0
9/15/21,4004.0
9/16/21,4441.0
9/17/21,4478.0
9/18/21,5388.0
9/19/21,3817.0
9/20/21,3342.0
9/21/21,6789.0
9/22/21,7045.0
9/23/21,7095.0
9/24/21,7116.0
9/25/21,7676.0
9/26/21,6333.0
9/27/21,5655.0
9/28/21,11049.0
9/29/21,10826.0
9/30/21,12032.0
10/1/21,10887.0
10/2/21,12590.0
10/3/21,8682.0
10/4/21,8292.0
10/5/21,15037.0
10/6/21,14744.0
10/7/21,14467.0
10/8/21,13854.0
10/9/21,14019.0
10/10/21,10400.0
10/11/21,9148.0
10/12/21,16743.0
10/13/21,15733.0
10/14/21,16383.0
10/15/21,15828.0
10/16/21,15239.0
10/17/21,11546.0
10/18/21,10141.0
10/19/21,18863.0
10/20/21,17158.0
10/21/21,16110.0
10/22/21,15410.0
10/23/21,15261.0
10/24/21,11725.0
10/25/21,9187.0
10/26/21,16765.0
10/27/21,14950.0
10/28/21,13197.0
10/29/21,12474.0
10/30/21,12106.0
10/31/21,7424.0
11/1/21,6993.0
11/2/21,11073.0
11/3/21,10196.0
11/4/21,8971.0
11/5/21,8268.0
11/6/21,8057.0
11/7/21,5293.0
11/8/21,4255.0
11/9/21,7589.0
11/10/21,6291.0
11/11/21,5416.0
11/12/21,4844.0
11/13/21,4006.0
11/14/21,3021.0
11/15/21,2136.0
11/16/21,4128.0
11/17/21,3535.0
11/18/21,3076.0
11/19/21,2889.0
11/20/21,2697.0
11/21/21,1936.0
11/22/21,1550.0
11/23/21,2736.0
11/24/21,2796.0
11/25/21,2104.0
11/26/21,1958.0
11/27/21,1727.0
11/28/21,1377.0
11/29/21,1096.0
11/30/21,1622.0
12/1/21,1141.0
12/2/21,1149.0
12/3/21,1673.0
12/4/21,1490.0
12/5/21,916.0
12/6/21,803.0
12/7/21,1421.0
12/8/21,1279.0
12/9/21,1032.0
12/10/21,931.0
12/11/21,0.0
12/12/21,1647.0
12/13/21,494.0
12/14/21,946.0
12/15/21,829.0
12/16/21,812.0
12/17/21,743.0
12/18/21,733.0
12/19/21,499.0
12/20/21,424.0
12/21/21,826.0
12/22/21,851.0
12/23/21,775.0
12/24/21,717.0
12/25/21,598.0
12/26/21,349.0
12/27/21,566.0
12/28/21,1144.0
12/29/21,1271.0
12/30/21,1497.0
12/31/21,1668.0
1/1/22,1451.0
1/2/22,958.0
1/3/22,1756.0
1/4/22,3900.0
1/5/22,4893.0
1/6/22,6018.0
1/7/22,5922.0
1/8/22,6036.0
1/9/22,4712.0
1/10/22,4104.0
1/11/22,8861.0
1/12/22,8600.0
1/13/22,9785.0
1/14/22,9884.0
1/15/22,10062.0
1/16/22,7595.0
1/17/22,8118.0
1/18/22,16760.0
1/19/22,16610.0
1/20/22,19105.0
1/21/22,19649.0
1/22/22,19371.0
1/23/22,14088.0
1/24/22,12082.0
1/25/22,19685.0
1/26/22,34255.0
1/27/22,31683.0
1/28/22,31724.0
1/29/22,30168.0
1/30/22,19668.0
1/31/22,20131.0
2/1/22,40018.0
2/2/22,35802.0
2/3/22,32671.0
2/4/22,31776.0
2/5/22,28921.0
2/6/22,16108.0
2/7/22,16958.0
2/8/22,36269.0
2/9/22,27346.0
2/10/22,26466.0
2/11/22,22737.0
2/12/22,18751.0
2/13/22,11967.0
2/14/22,12069.0
2/15/22,21885.0
2/16/22,17447.0
2/17/22,15374.0
2/18/22,14524.0
2/19/22,12319.0
2/20/22,7697.0
2/21/22,7684.0
2/22/22,14775.0
2/23/22,11477.0
2/24/22,10749.0
2/25/22,8974.0
2/26/22,7191.0
2/27/22,4247.0
2/28/22,4757.0
