,Croatia
1/17/22,1397.0
1/18/22,7548.0
1/19/22,10427.0
1/20/22,11343.0
1/21/22,11114.0
1/22/22,10701.0
1/23/22,7095.0
1/24/22,1831.0
1/25/22,8471.0
1/26/22,11812.0
1/27/22,10500.0
1/28/22,9924.0
1/29/22,9904.0
1/30/22,6220.0
1/31/22,1445.0
2/1/22,7385.0
2/2/22,10003.0
2/3/22,8815.0
2/4/22,8094.0
2/5/22,7536.0
2/6/22,4780.0
2/7/22,1270.0
2/8/22,5545.0
2/9/22,7868.0
2/10/22,6341.0
2/11/22,5169.0
2/12/22,5212.0
2/13/22,2730.0
2/14/22,452.0
2/15/22,3410.0
2/16/22,5795.0
2/17/22,4461.0
2/18/22,3599.0
2/19/22,3525.0
2/20/22,2055.0
2/21/22,312.0
2/22/22,1810.0
2/23/22,3774.0
2/24/22,2559.0
2/25/22,2030.0
2/26/22,1871.0
2/27/22,1028.0
2/28/22,198.0
