,Nepal
8/17/21,2456.0
8/18/21,2613.0
8/19/21,2321.0
8/20/21,2079.0
8/21/21,1424.0
8/22/21,1702.0
8/23/21,1548.0
8/24/21,2020.0
8/25/21,1862.0
8/26/21,2052.0
8/27/21,1577.0
8/28/21,1516.0
8/29/21,1214.0
8/30/21,1902.0
8/31/21,1523.0
9/1/21,1648.0
9/2/21,1619.0
9/3/21,1357.0
9/4/21,1024.0
9/5/21,976.0
9/6/21,1488.0
9/7/21,1423.0
9/8/21,1347.0
9/9/21,1058.0
9/10/21,961.0
9/11/21,777.0
9/12/21,838.0
9/13/21,1149.0
9/14/21,1180.0
9/15/21,1332.0
9/16/21,1165.0
9/17/21,1086.0
9/18/21,835.0
9/19/21,656.0
9/20/21,975.0
9/21/21,1036.0
9/22/21,1251.0
9/23/21,941.0
9/24/21,1103.0
9/25/21,790.0
9/26/21,730.0
9/27/21,975.0
9/28/21,904.0
9/29/21,892.0
9/30/21,898.0
10/1/21,898.0
10/2/21,659.0
10/3/21,574.0
10/4/21,812.0
10/5/21,762.0
10/6/21,849.0
10/7/21,667.0
10/8/21,715.0
10/9/21,636.0
10/10/21,565.0
10/11/21,663.0
10/12/21,691.0
10/13/21,326.0
10/14/21,398.0
10/15/21,240.0
10/16/21,136.0
10/17/21,385.0
10/18/21,523.0
10/19/21,957.0
10/20/21,535.0
10/21/21,470.0
10/22/21,574.0
10/23/21,438.0
10/24/21,522.0
10/25/21,673.0
10/26/21,569.0
10/27/21,582.0
10/28/21,527.0
10/29/21,490.0
10/30/21,297.0
10/31/21,376.0
11/1/21,441.0
11/2/21,422.0
11/3/21,395.0
11/4/21,287.0
11/5/21,174.0
11/6/21,128.0
11/7/21,141.0
11/8/21,371.0
11/9/21,443.0
11/10/21,387.0
11/11/21,301.0
11/12/21,355.0
11/13/21,260.0
11/14/21,291.0
11/15/21,367.0
11/16/21,339.0
11/17/21,363.0
11/18/21,272.0
11/19/21,271.0
11/20/21,209.0
11/21/21,232.0
11/22/21,367.0
11/23/21,313.0
11/24/21,305.0
11/25/21,281.0
11/26/21,242.0
11/27/21,197.0
11/28/21,154.0
11/29/21,243.0
11/30/21,245.0
12/1/21,285.0
12/2/21,298.0
12/3/21,223.0
12/4/21,220.0
12/5/21,200.0
12/6/21,238.0
12/7/21,272.0
12/8/21,255.0
12/9/21,197.0
12/10/21,232.0
12/11/21,194.0
12/12/21,242.0
12/13/21,313.0
12/14/21,229.0
12/15/21,252.0
12/16/21,160.0
12/17/21,269.0
12/18/21,158.0
12/19/21,133.0
12/20/21,218.0
12/21/21,252.0
12/22/21,217.0
12/23/21,241.0
12/24/21,237.0
12/25/21,157.0
12/26/21,213.0
12/27/21,251.0
12/28/21,241.0
12/29/21,209.0
12/30/21,235.0
12/31/21,224.0
1/1/22,342.0
1/2/22,213.0
1/3/22,291.0
1/4/22,355.0
1/5/22,370.0
1/6/22,478.0
1/7/22,572.0
1/8/22,696.0
1/9/22,841.0
1/10/22,1357.0
1/11/22,1981.0
1/12/22,2448.0
1/13/22,2922.0
1/14/22,4204.0
1/15/22,3703.0
1/16/22,4534.0
1/17/22,5747.0
1/18/22,8730.0
1/19/22,9502.0
1/20/22,10052.0
1/21/22,8815.0
1/22/22,8212.0
1/23/22,5598.0
1/24/22,8054.0
1/25/22,9432.0
1/26/22,5571.0
1/27/22,5816.0
1/28/22,4807.0
1/29/22,3318.0
1/30/22,3049.0
1/31/22,3472.0
2/1/22,3657.0
2/2/22,2205.0
2/3/22,2742.0
2/4/22,1602.0
2/5/22,1103.0
2/6/22,1183.0
2/7/22,1022.0
2/8/22,1184.0
2/9/22,1851.0
2/10/22,1013.0
2/11/22,666.0
2/12/22,491.0
2/13/22,427.0
2/14/22,482.0
2/15/22,498.0
2/16/22,454.0
2/17/22,364.0
2/18/22,275.0
2/19/22,198.0
2/20/22,229.0
2/21/22,247.0
2/22/22,299.0
2/23/22,256.0
2/24/22,151.0
2/25/22,158.0
2/26/22,101.0
2/27/22,94.0
2/28/22,119.0
